"ID","YCOORD","XCOORD","ELEVATION","SLOPE","ASPECT","ADM1_NAME","COUNTRY","map_class"
"120","1.350479380876","16.3763783285493","352","0.00652058284043542","4.58723919375236","Sangha","Republic of Congo","31"
"284","1.30827187411604","16.8146870529921","355","0.00731728535979467","5.23661724706066","Likouala","Republic of Congo","31"
"447","1.28365082850606","16.6769715340159","357","0.00818552938915591","3.73576702738042","Sangha","Republic of Congo","31"
"363","1.27526343934222","16.6669607791984","352","0.00232394783246373","2.19410802753903","Sangha","Republic of Congo","31"
"368","1.26822885488223","16.5397971369218","363","0.00135340998906722","3.78199056896514","Sangha","Republic of Congo","31"
"314","1.26011202665916","15.9196714601176","388","0.00391095375610917","4.67769617798581","Sangha","Republic of Congo","31"
"642","1.24956014996917","16.7508346709128","368","0.00527183301733476","5.83357315535878","Sangha","Republic of Congo","31"
"693","1.24766622338379","15.8249751307627","496","0.00700258554993156","2.05434619386671","Sangha","Republic of Congo","31"
"569","1.24712510150225","15.8325508371111","469","0.0247838862628864","1.82526473204681","Sangha","Republic of Congo","31"
"466","1.21898676366228","16.6480215133274","358","0.00401017315052732","5.05747369802773","Sangha","Republic of Congo","31"
"311","1.21628115425459","16.6539738540297","357","0.00290580320608584","4.32963838952796","Sangha","Republic of Congo","31"
"789","1.21222274014306","16.7529991584409","372","0.00886137815223679","3.54813693795926","Sangha","Republic of Congo","31"
"511","1.20275310721614","16.7819491791294","368","0.0048813643163773","0.585008200096461","Sangha","Republic of Congo","31"
"201","1.19382459617077","15.9583616746826","405","0.0139719346912669","0.617178859141175","Sangha","Republic of Congo","31"
"62","1.19328347428923","15.8579835655664","411","0.00760133796650064","3.10612460504119","Sangha","Republic of Congo","31"
"830","1.1743442084354","15.9510565292752","423","0.0121942342322635","2.05692675596937","Sangha","Republic of Congo","31"
"597","1.17380308655386","16.2692361959078","396","0.0101049254614206","1.8010369914037","Sangha","Republic of Congo","31"
"493","1.17163859902771","16.3006212650654","374","0.00681674911167873","2.1618064042654","Sangha","Republic of Congo","31"
"564","1.16514513644926","16.2443445893345","407","0.00975212611649566","5.50104264214038","Sangha","Republic of Congo","31"
"600","1.1351128720239","15.9992163767757","393","0.0145509315498294","1.3355798105971","Sangha","Republic of Congo","31"
"836","1.12916053132698","16.6493743180325","348","0.00170588168685658","1.89450879418609","Sangha","Republic of Congo","31"
"631","1.1159030452293","16.2213469093483","418","0.0184318074162369","2.12921944481536","Sangha","Republic of Congo","31"
"101","1.10075163254624","16.2178296171151","406","0.017317592119233","1.91431473741579","Sangha","Republic of Congo","31"
"271","1.09723434031625","15.9751364530255","427","0.00921664934354003","1.01237068942871","Sangha","Republic of Congo","31"
"51","1.08532965892241","16.1999725950082","430","0.0116222852051959","4.17307753889396","Sangha","Republic of Congo","31"
"561","1.05069785850398","16.1715636962017","398","0.0135392488611199","4.8835431143284","Sangha","Republic of Congo","31"
"430","1.05015673662245","16.1813038900782","417","0.0133586750637252","4.66159588304713","Sangha","Republic of Congo","31"
"345","1.04853337097783","16.2186412999381","405","0.0113946814318791","2.49411988995212","Sangha","Republic of Congo","31"
"124","1.00280857198788","16.2416389799243","399","0.0094152674140618","2.93983985434641","Sangha","Republic of Congo","31"
"844","0.987927720245584","15.9932640360734","372","0.0123665160386501","1.24707008456424","Sangha","Republic of Congo","31"
"342","0.976293599792518","16.5763228639587","379","0.0100965052209955","5.11261580147376","Sangha","Republic of Congo","31"
"25","1.58045618052962","16.080655220021","348","0.00765661548824496","5.45098242937273","Sangha","Republic of Congo","32"
